label,Ag,K,Mo,W,Re,Au,Cl,Mg,Fe,Temp,P,GHSV,C3,O2,NOx,EtCl,CO2,pNOx,pEtCl,pCO2,Conv,Sel,Yield
1,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,10,0,0,0,12,48,5.8
2,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,5,0,0,0,13,44,5.7
3,50,2,0.5,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,1,13,44,5.7
4,50,2,0.5,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,13,42,5.5
5,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,25,0,0,0,10,54,5.4
6,51,2.1,0.51,0,0,0,0,0,0,250,30,1200,4,8,0,0,0,0,1,1,10,54,5.4
7,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,0,0,0,1,13,41,5.3
8,51,1.6,1.8,0,0,0,0,0,0,250,30,1200,10,5,0.02,0.005,0,0,0,0,13,40,5.2
9,45,1.3,0,0,0.37,0,0,0,0,250,30,1200,10,5,0.02,0.005,0,0,0,0,14,37,5.2
10,45,1.3,0,0,0.37,0,0,0,0,250,30,1200,10,5,0.02,0.005,11.2,0,0,0,10,51,5.1
11,38,2,0,5,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,25,0,0,0,8.8,53,4.7
12,38,2,0,5,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,13.3,35,4.7
13,44,1.7,0.44,0,0,0,0.05,0,0,232,100,2400,4.15,8.15,0,0,0,0,1,0,9.1,51,4.6
14,50,2,0,0,0.5,0,0.6,0,0,250,30,1200,10,5,0.02,0,0,0,0,0,10.9,42.4,4.6
15,40,2,0,0,0,0,0,0.24,0.027,250,30,1200,10,5,0.02,0.005,0,0,0,0,12,38,4.6
16,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,1,13,35,4.6
17,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,25,0,0,0,8.7,52,4.5
18,44,1.7,0.44,0,0,0,0.05,0,0,250,30,1200,10.7,5.2,0.02,0.05,0,0,0,0,10.6,42.6,4.5
19,52,1.8,0.55,0,0,0,0.05,0,0,250,30,1200,4,8,0,0,0,1,1,0,9,50,4.5
20,40,2,0,0.5,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,1,12,37,4.4
21,54,2,0.5,0,0,0,0,0,0,250,30,1200,10,5,0.02,0.005,0,0,0,0,11.2,39.5,4.4
22,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,13,34,4.4
23,39,2.3,0,0.6,0,0,0,0,0,232,100,2400,4,8,0,0,15,0,1,0,8,55,4.4
24,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,1,12.4,35,4.3
25,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,0,0,0,0,12,36,4.3
26,37,2,0,0,0,0,0,0.79,0.067,250,30,1200,10,5,0.02,0.005,0,0,0,0,11,38,4.2
27,40,2,0,0.5,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,11,37,4.1
28,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,12.6,32,4
29,40,2,0,0,0,0,0,0,0,260,40,1200,10,5,0.02,0.005,0,0,0,0,12.6,32,4
30,40,2,0,0,0,0,0,0.26,0.038,250,30,1200,10,5,0.02,0.005,0,0,0,0,11.5,35,4
31,52,1.8,0.55,0,0,0,0.05,0,0,240,30,1200,4,8,0,0,0,1,1,0,8,50,4
32,45,1.3,0,0,0.37,0,0,0,0,250,30,1200,10,5,0.02,0.005,52.1,0,0,0,7,57,4
33,50,2,0.5,0,0,0,0.6,0,0,250,30,1200,10,6,0,0,0,0,0,0,11,36,4
34,40,2,0,4.7,0,0,0,0,0,258,40,1200,10,5,0.02,0.005,50,0,0,0,7,56,3.9
