"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL511";"PYRILAMINE";"4";"285.39";"0";"2.66";"Mepyramine";"COc1ccc(CN(CCN(C)C)c2ccccn2)cc1";"IC50";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL693827";"In vitro antagonistic activity at the Histamine H1 receptor in guinea pig ileum";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1132913";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";""
"CHEMBL14587";"";"0";"423.99";"1";"5.80";"37";"Clc1ccc2c(NCCc3ccc(OCCCN4CCCCC4)cc3)ccnc2c1";"Kd";"'='";"794.33";"nM";"6.10";"";"";"UO_0000065";"14.39";"0.28";"0.30";"16.31";"False";"CHEMBL692283";"Activity at Histamine H1 receptor using functional H1 receptor assay on guinea pig ileum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1135735";"1";"Scientific Literature";"J. Med. Chem.";"2002";""
"CHEMBL90";"HISTAMINE";"4";"111.15";"0";"-0.09";"1b";"NCCc1c[nH]cn1";"Ki";"'='";"79432823472428.2";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL696935";"Binding affinity against H1 receptor of guinea pig by the displacement of [3H]mepyramine, bound to membranes of CHO cells";"B";"BAO_0000219";"cell-based format";"Cavia porcellus";"";"";"CHO";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1128733";"1";"Scientific Literature";"J. Med. Chem.";"1995";"CHEMBL3308072"
"CHEMBL66439";"";"0";"245.35";"0";"1.06";"25";"CC(C)S(=O)(=O)NCCCCc1c[nH]cn1";"Ki";"'='";"0.0";"%";"";"Non standard unit for type";"";"UO_0000187";"";"";"";"";"False";"CHEMBL693693";"Evaluated for the percent binding affinity against H1 receptor by an H1 histamine-mediated bronchospasm";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1130926";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
"CHEMBL553331";"";"0";"581.50";"1";"2.51";"17";"Cl.Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"13.09";"0.25";"4.15";"9.75";"False";"CHEMBL693825";"Compound is evaluated for in vitro receptor binding affinity against H1 receptor";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"";"";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1128457";"1";"Scientific Literature";"J. Med. Chem.";"1995";""
"CHEMBL20328";"";"0";"356.16";"0";"2.80";"9";"O=C(OCCCc1c[nH]cn1)c1cccc(I)c1";"-Log KB";"'='";"4.8";"";"";"";"";"";"";"";"";"";"False";"CHEMBL694920";"Agonistic activity tested against histamine H1 receptor on guinea pig ileum";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1129520";"1";"Scientific Literature";"J. Med. Chem.";"1996";""
"CHEMBL541086";"";"0";"455.35";"0";"0.09";"11";"Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(c3cncc(Cl)n3)CC2)n(C)c1=O";"Inhibition";"'='";"29.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL687116";"In vitro antagonism of histamine-induced contraction of guinea pig ileum at 1x10E-7M";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1128457";"1";"Scientific Literature";"J. Med. Chem.";"1995";""
"CHEMBL12608";"IMPROMIDINE";"0";"321.45";"0";"1.42";"4";"Cc1[nH]cnc1CSCCNC(=N)NCCCc1c[nH]cn1";"Kd";"'='";"3388.44";"nM";"5.47";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL953171";"Antagonist activity at histamine H1 receptor in guinea pig ileum assessed as inhibition of histamine-induced positive chronotropic activity";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1152279";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL485958";"";"0";"291.40";"0";"1.95";"75";"N=C(NCCCc1c[nH]cn1)NC(=O)CC1CCCCC1";"Kd";"'='";"2454.71";"nM";"5.61";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL953171";"Antagonist activity at histamine H1 receptor in guinea pig ileum assessed as inhibition of histamine-induced positive chronotropic activity";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1152279";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL513883";"";"0";"411.46";"0";"3.48";"50";"N=C(NCCCc1c[nH]cn1)NC(=O)CC(c1ccc(F)cc1)c1ccc(F)cc1";"pD2";"'='";"5.95";"";"";"";"";"";"";"";"";"";"False";"CHEMBL953172";"Agonist activity at histamine H1 receptor in guinea pig ileum assessed as positive chronotropic activity";"F";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638244";"Ileum";"";"";"CHEMBL3943";"Histamine H1 receptor";"Cavia porcellus";"SINGLE PROTEIN";"CHEMBL1152279";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
